company,year,status,additional_borrowers,borrowers_needed,difference
annapurna,2024,scenario,125462.03030302003,1304607.7136110144,-1179145.6833079944
annapurna,2025,scenario,193195.54079252854,1445702.0506132566,-1252506.509820728
annapurna,2026,scenario,176916.91641690116,1604393.8296163075,-1427476.9131994064
annapurna,2027,scenario,63371.04761902988,1783789.3135943352,-1720418.2659753053
annapurna,2028,scenario,-160697.175158198,1987379.3598661567,-2148076.5350243547
annapurna,2029,scenario,-508542.8614718865,2219057.2679162314,-2727600.129388118
annapurna,2030,scenario,-993421.1208791498,2483136.272416718,-3476557.3932958674
chaitanya,2024,scenario,29220.19580419548,786293.575489986,-757073.3796857905
chaitanya,2025,scenario,315896.59840159817,871331.8360838986,-555435.2376823004
chaitanya,2026,scenario,629169.7902097898,966976.1627357797,-337806.3725259899
chaitanya,2027,scenario,969039.7712287707,1075098.715632089,-106058.94440331822
chaitanya,2028,scenario,1335506.541458541,1197803.451888901,137703.0895696401
chaitanya,2029,scenario,1728570.1008991008,1337436.8825226314,391133.21837646933
chaitanya,2030,scenario,2148230.4495504494,1496598.6155816736,651631.8339687758
muthoot,2024,scenario,659714.2857142282,1292476.9571869052,-632762.671472677
muthoot,2025,scenario,1754261.9047618192,1432259.3434646972,322002.5612971219
muthoot,2026,scenario,3282309.5238093976,1589475.5437956993,1692833.9800136983
muthoot,2027,scenario,5327645.0216448475,1767202.937897347,3560442.0837475006
muthoot,2028,scenario,7974056.277056046,1968899.9237220085,6005156.353334038
muthoot,2029,scenario,11305331.168830875,2198423.5993219134,9106907.569508962
muthoot,2030,scenario,15405257.575757202,2460047.093214195,12945210.482543007
belstar,2024,scenario,397379.6964285709,846947.3576105318,-449567.66118196095
belstar,2025,scenario,840408.863095237,938545.3718266959,-98136.50873145892
belstar,2026,scenario,1316548.374999999,1041567.59183882,274980.78316117905
belstar,2027,scenario,1825798.2321428559,1158030.5941170328,667767.638025823
belstar,2028,scenario,2368158.434523808,1290200.6326096437,1077957.801914164
belstar,2029,scenario,2943628.9821428554,1440605.2254942227,1503023.7566486327
belstar,2030,scenario,3552209.874999998,1612044.511594285,1940165.363405713
satin,2024,scenario,-840695.1904761901,1418195.7055822185,-2258890.8960584085
satin,2025,scenario,-1447295.1714285712,1571574.6720952224,-3018869.843523794
satin,2026,scenario,-2190383.221645022,1744083.2332092742,-3934466.454854296
satin,2027,borrower forecast outside nonnegative domain,,,
satin,2028,borrower forecast outside nonnegative domain,,,
satin,2029,borrower forecast outside nonnegative domain,,,
satin,2030,borrower forecast outside nonnegative domain,,,
creditaccess,2024,scenario,861182.5681818184,1969593.7248599085,-1108411.15667809
creditaccess,2025,scenario,1516170.3094405606,2182606.815211561,-666436.5057710004
creditaccess,2026,scenario,2208291.9572927076,2422187.134146006,-213895.1768532982
creditaccess,2027,scenario,2937547.511738263,2693024.272256537,244523.2394817262
creditaccess,2028,scenario,3703936.972777224,3000388.4503135723,703548.5224636518
creditaccess,2029,scenario,4507460.340409592,3350157.46449568,1157302.875913912
creditaccess,2030,scenario,5348117.614635367,3748843.095973168,1599274.518662199
asirvad,2024,scenario,326659.0909090908,1329972.022497788,-1003312.9315886972
asirvad,2025,scenario,742547.2027972033,1473809.5291966083,-731262.326399405
asirvad,2026,scenario,1176639.6103896108,1635586.6090593974,-458946.9986697866
asirvad,2027,scenario,1628936.313686315,1818469.9173244028,-189533.60363808786
asirvad,2028,scenario,2099437.312687313,2026018.180894831,73419.13179248222
asirvad,2029,scenario,2588142.607392609,2262200.3931588973,325942.2142337118
asirvad,2030,scenario,3095052.197802199,2531413.647112901,563638.5506892982
spandanassphoorty,2024,scenario,0.0,1271523.832454353,-1271523.832454353
spandanassphoorty,2025,scenario,0.0,1409040.1220262765,-1409040.1220262765
spandanassphoorty,2026,scenario,0.0,1563707.5955601037,-1563707.5955601037
spandanassphoorty,2027,scenario,0.0,1738553.743511639,-1738553.743511639
spandanassphoorty,2028,scenario,0.0,1936980.8976548426,-1936980.8976548426
spandanassphoorty,2029,scenario,0.0,2162783.6262953635,-2162783.6262953635
spandanassphoorty,2030,scenario,0.0,2420165.7836825657,-2420165.7836825657
fusionfinance,2024,scenario,591076.416666666,1030011.5000107248,-438935.0833440587
fusionfinance,2025,scenario,1317721.0136363627,1141408.0433413202,176312.9702950425
fusionfinance,2026,scenario,2103550.8909090897,1266698.086949815,836852.8039592747
fusionfinance,2027,scenario,2948566.048484847,1408334.081907954,1540231.9665768929
fusionfinance,2028,scenario,3852766.4863636345,1569072.123512249,2283694.3628513855
fusionfinance,2029,scenario,4816152.204545452,1751986.0424630265,3064166.162082426
fusionfinance,2030,scenario,5838723.203030299,1960481.2159232583,3878241.9871070413
bandhan,2024,scenario,391071.4285714282,1556045.210401641,-1164973.7818302128
bandhan,2025,scenario,792023.8095238078,1724332.707874307,-932308.8983504991
bandhan,2026,scenario,1210357.1428571418,1913609.2084434575,-703252.0655863157
bandhan,2027,scenario,1646071.4285714272,2127579.64622283,-481508.2176514026
bandhan,2028,scenario,2099166.666666664,2370407.672672145,-271241.0060054809
bandhan,2029,scenario,2569642.8571428554,2646736.944234829,-77094.08709197352
bandhan,2030,scenario,3057499.999999997,2961711.986796271,95788.01320372615
